Original Image,Augmented Image,MSE,SSIM
images/image_1.jpeg,augmented_images/augmented_1_1.png,12727.521468098957,0.36548133219892504
images/image_1.jpeg,augmented_images/augmented_1_2.png,11970.637915943287,0.27111859755905704
images/image_1.jpeg,augmented_images/augmented_1_3.png,10231.836858362269,0.3534415672911307
images/image_1.jpeg,augmented_images/augmented_1_4.png,7230.915251374421,0.3940087642434363
images/image_1.jpeg,augmented_images/augmented_1_5.png,11972.027609953704,0.29420646154408553
images/image_2.jpeg,augmented_images/augmented_2_1.png,17298.57433883102,0.2553746919219167
images/image_2.jpeg,augmented_images/augmented_2_2.png,17280.94562753183,0.21978090162071562
images/image_2.jpeg,augmented_images/augmented_2_3.png,17164.08983000579,0.22420927165258808
images/image_2.jpeg,augmented_images/augmented_2_4.png,18413.29907588252,0.20285609654061432
images/image_2.jpeg,augmented_images/augmented_2_5.png,12010.521656177661,0.3713337147126879
images/image_3.jpeg,augmented_images/augmented_3_1.png,4401.333674768519,0.36591335028518923
images/image_3.jpeg,augmented_images/augmented_3_2.png,4472.407821180555,0.24560275991033154
images/image_3.jpeg,augmented_images/augmented_3_3.png,3990.974794198495,0.29528203353307747
images/image_3.jpeg,augmented_images/augmented_3_4.png,5341.880829716435,0.34982771882190256
images/image_3.jpeg,augmented_images/augmented_3_5.png,6515.84388599537,0.2070469052572547
images/image_4.jpeg,augmented_images/augmented_4_1.png,3043.744333405671,0.3835824044267743
images/image_4.jpeg,augmented_images/augmented_4_2.png,5270.666732132523,0.18920109776999183
images/image_4.jpeg,augmented_images/augmented_4_3.png,5271.342156394676,0.2803169693917555
images/image_4.jpeg,augmented_images/augmented_4_4.png,4396.974097222223,0.3329910940418081
images/image_4.jpeg,augmented_images/augmented_4_5.png,3598.1921086516204,0.40550101637717306
images/image_5.jpeg,augmented_images/augmented_5_1.png,3711.680703125,0.5050688674254525
images/image_5.jpeg,augmented_images/augmented_5_2.png,6495.4541221788195,0.2455715678324102
images/image_5.jpeg,augmented_images/augmented_5_3.png,4906.220242332176,0.363831615246563
images/image_5.jpeg,augmented_images/augmented_5_4.png,3426.7030866608798,0.47381440110476775
images/image_5.jpeg,augmented_images/augmented_5_5.png,3931.1418627025464,0.39090335324894304
